DBN,ell_num,sped_num,asian_num,black_num,hispanic_num,white_num,male_num,female_num,Total Cohort #,Total Grads #,Total Regents #,Advanced Regents #,Regents w/o Advanced #,Local #,Still Enrolled #,Dropped Out #,School Name,Year,Total Enrollment,# Female,# Male,# Asian,# Black,# Hispanic,# Multi-Racial,# Native American,# White,# English Language Learners,# Poverty,Economic Need Index
10X546,34,48,2,147,252,11,128,286,35,30,18,0,18,12,3,2,Bronx Theatre High School,2017-18,389,279,110,6,112,256,0,3,8,31,339,90.7
10X549,114,98,11,115,363,6,267,235,88,64,58,16,42,6,4,18,Discovery High School,2017-18,456,209,247,16,87,336,1,2,11,85,412,91.3
10X696,,4,60,47,79,179,201,170,87,85,85,72,13,0,1,1,High School of American Studies at Lehman College,2017-18,400,199,199,88,14,46,15,3,234,0,86,24.1
11X249,24,9,6,86,97,3,63,140,20,19,19,1,18,0,1,0,Bronx Health Sciences High School,2017-18,315,172,142,26,155,103,0,7,13,21,229,71
11X253,36,61,10,204,201,7,172,250,97,58,52,2,50,6,9,25,Bronx High School for Writing and Communication Ar,2017-18,338,159,179,16,159,146,2,3,10,48,243,80.8
11X265,20,76,12,183,264,6,276,192,24,20,20,0,20,0,4,0,Bronx Lab School,2017-18,399,152,247,7,134,236,2,6,12,59,339,88.9
11X270,27,87,14,385,209,1,316,307,76,54,52,3,49,2,7,13,Academy for Scholarship and Entrepreneurship: A Co,2017-18,377,198,179,10,235,118,0,3,7,28,305,81.9
11X275,10,17,3,72,110,8,148,52,126,108,103,19,84,5,13,5,High School of Computers and Technology,2017-18,569,74,495,39,204,306,0,5,12,46,445,83.6
11X288,18,76,50,200,254,38,310,233,60,52,50,18,32,2,4,2,Collegiate Institute for Math and Science,2017-18,616,279,337,80,211,248,1,4,64,14,442,72
11X290,33,84,13,229,192,6,123,322,89,69,61,6,55,8,2,13,Bronx Academy of Health Careers,2017-18,395,265,130,17,148,213,0,3,10,55,328,86.7
11X299,38,108,27,178,229,59,292,206,88,66,62,8,54,4,15,5,Astor Collegiate Academy,2017-18,476,210,266,34,142,239,1,5,48,30,359,74.3
11X418,17,78,6,144,221,31,240,166,96,58,28,1,27,30,20,13,Bronx High School for the Visual Arts,2017-18,441,219,222,13,110,270,0,2,43,26,366,81.7
11X455,142,607,56,1777,1223,35,1761,1365,16,9,8,2,6,1,5,2,Harry S Truman High School,2017-18,2000,823,1177,56,1031,819,3,22,58,147,1484,74.4
11X508,7,12,4,22,54,12,57,38,93,77,67,3,64,10,4,10,Bronxdale High School,2017-18,453,208,245,23,129,262,1,3,34,38,394,77.1
11X509,64,2,11,9,49,6,38,38,52,26,25,2,23,1,11,14,High School of Language and Innovation,2017-18,363,160,203,58,25,208,0,7,65,293,344.85,95
11X513,195,2,20,19,192,20,135,120,5,5,4,4,0,1,0,0,New World High School,2017-18,403,204,199,40,49,264,0,10,40,267,382.85,95
11X514,34,75,7,193,152,4,244,117,8,7,7,1,6,0,0,1,The Bronxwood Preparatory Academy,2017-18,405,213,192,13,258,111,0,8,14,42,292,77.6
11X542,13,51,12,223,234,30,237,264,114,100,88,18,70,12,10,3,Pelham Preparatory Academy,2017-18,501,264,237,32,141,266,0,8,47,20,366,70.5
11X544,46,84,4,183,264,4,249,210,34,30,20,1,19,10,2,2,High School for Contemporary Arts,2017-18,446,231,215,10,171,249,0,4,10,69,347,84.8
11X545,61,107,9,99,302,5,343,73,59,57,34,0,34,23,1,1,Bronx Aerospace High School,2019-20,263,58,205,17,94,140,0,1,8,50,225,90.1
12X242,41,88,12,109,258,4,171,213,66,48,46,18,28,2,15,3,Mott Hall V,2018-19,672,338,334,17,109,528,0,12,6,99,601,90.4
12X248,68,61,1,95,228,0,159,168,97,71,59,2,57,12,1,20,"Metropolitan High School, The",2017-18,411,181,230,7,104,293,0,1,4,102,390.45,93.9
12X251,38,34,3,96,198,1,149,157,64,54,41,5,36,13,1,9,Explorations Academy H.S.,2017-18,351,144,207,6,105,235,0,2,3,73,330,93.5
12X267,57,90,1,107,306,4,208,210,12,3,2,0,2,1,3,3,Bronx Latin,2017-18,579,274,305,8,110,450,1,3,7,84,549,91.1
12X271,33,33,6,145,142,5,161,143,41,36,30,0,30,6,1,3,East Bronx Academy for the Future,2017-18,671,345,326,12,173,470,2,6,6,101,622,92.8
12X388,208,,1,0,215,0,116,100,50,29,29,0,29,0,17,4,Pan American International High School at Monroe,2017-18,478,235,243,0,1,476,0,1,0,432,454.1,95
12X446,11,21,1,94,130,0,76,152,96,42,41,0,41,1,14,40,Arturo A. Schomburg Satellite Academy Bronx,2017-18,181,97,84,0,71,104,0,2,4,20,158,89
12X478,3,1,1,21,46,1,29,43,76,72,69,6,63,3,2,2,The Cinema School,2017-18,290,174,116,6,63,207,1,4,9,18,251,83.7
12X479,7,14,1,28,50,2,32,52,70,36,33,0,33,3,18,9,Bronx Career and College Preparatory High School,2019-20,275,139,136,6,88,172,0,4,2,50,249,94.7
12X480,34,27,5,137,193,2,127,211,39,11,8,0,8,3,14,13,Bronx Regional High School,2018-19,181,85,96,5,61,109,0,1,5,18,164,92.2
12X511,8,13,3,23,43,2,33,38,71,49,39,1,38,10,7,14,Bronx Envision Academy,2017-18,429,256,173,10,143,256,0,4,12,63,386,91.7
12X521,16,11,1,25,67,1,50,46,61,49,46,3,43,3,3,7,The Metropolitan Soundview High School,2017-18,429,200,229,15,96,305,0,5,8,57,407.55,89.3
12X550,285,1,14,20,277,3,157,161,110,72,68,8,60,4,12,24,High School of World Cultures,2017-18,448,200,248,41,34,345,0,7,21,372,425.6,95
12X682,55,125,1,146,328,1,258,219,54,39,2,0,2,37,0,7,Fannie Lou Hamer Freedom High School,2020-21,478,227,251,7,130,322,2,1,12,67,421,93
12X684,30,102,10,261,230,7,259,257,17,8,6,0,6,2,6,2,Wings Academy,2020-21,345,110,235,4,177,149,2,5,7,23,309,92.7
13K265,12,92,2,361,121,6,185,308,65,57,42,0,42,15,3,5,Dr. Susan S. McKinney Secondary School of the Arts,2020-21,320,192,128,3,223,79,1,7,5,10,278,90.5
13K350,10,46,9,270,87,5,179,202,79,56,47,0,47,9,2,21,Urban Assembly School of Music and Art,2020-21,176,125,51,1,125,46,1,0,3,8,153,87.8
13K412,4,50,2,272,45,4,168,156,79,51,47,0,47,4,19,9,Brooklyn Community Arts & Media High School (BCAM),2020-21,547,303,244,13,371,141,3,2,13,22,449,83.2
13K419,19,60,58,738,107,8,534,437,229,172,145,23,122,27,40,12,"Science Skills Center High School for Science, Tec",2021-22,522,217,305,43,330,106,2,12,18,15,442,77.1
13K430,4,41,3104,549,398,1080,3002,2138,682,678,677,617,60,1,0,4,Brooklyn Technical High School,2020-21,5921,2390,3531,3545,334,391,79,36,1401,5,3527,51.9
13K439,342,,129,74,162,47,203,211,40,33,33,0,33,0,2,5,Brooklyn International High School,2020-21,345,153,192,79,63,182,0,0,21,296,322,95
13K483,6,49,6,374,82,2,129,336,105,89,89,0,89,0,14,2,The Urban Assembly School for Law and Justice,2020-21,460,292,168,11,293,133,2,6,11,13,379,78.7
13K527,2,26,9,265,36,4,,317,6,4,3,0,3,1,2,0,Urban Assembly Institute of Math and Science for Y,2020-21,497,496,1,51,287,88,4,7,57,40,417,82.1
13K553,3,19,2,190,22,1,110,107,59,22,3,0,3,19,28,9,Brooklyn Academy High School,2020-21,142,62,80,0,110,29,0,1,2,1,120,88.3
13K595,1,16,4,302,21,0,152,190,71,70,70,0,70,0,1,0,Bedford Academy High School,2020-21,396,202,194,17,307,37,3,7,17,3,283,59.2
13K605,17,149,17,791,205,19,614,440,227,124,117,9,108,7,82,19,George Westinghouse Career and Technical Education,2021-22,643,193,450,21,415,182,4,5,12,27,529,79.7
13K616,4,10,1,152,50,6,127,84,5,1,1,0,1,0,3,1,Brooklyn High School for Leadership and Community,2021-22,132,60,72,2,85,37,0,2,5,8,119,92.2
13K670,1,30,27,713,118,15,372,552,93,88,81,47,34,7,2,3,Benjamin Banneker Academy,2020-21,887,458,429,44,683,126,1,8,10,14,595,69
13K674,9,21,14,72,28,9,93,31,109,93,81,0,81,12,15,1,"City Polytechnic High School of Engineering, Archi",2020-21,465,82,383,29,283,115,4,5,24,13,337,66.5
14K071,215,231,2,132,697,29,473,392,75,36,26,2,24,10,29,5,Juan Morel Campos Secondary School,2020-21,503,234,269,2,124,340,1,1,32,132,434,92.4
14K449,1,4,120,97,69,44,184,152,149,148,148,53,95,0,1,0,"Brooklyn Latin School, The",2018-19,698,318,380,384,85,83,9,8,91,0,425,55.5
14K454,28,63,4,178,169,6,166,195,34,18,15,0,15,3,2,14,The Williamsburg High School of Art and Technology,2021-22,401,145,256,14,104,252,5,1,19,48,325,80.6
14K474,175,129,8,316,664,9,467,536,260,155,148,2,146,7,65,33,PROGRESS High School for Professional Careers,2020-21,548,271,277,8,135,386,0,2,13,108,475,90.7
14K477,35,115,7,499,288,9,374,436,50,35,13,0,13,22,2,11,East Williamsburg Scholars Academy,2020-21,327,143,184,6,95,212,2,2,8,78,308,89.4
14K478,94,127,23,366,538,18,638,312,207,169,150,0,150,19,27,10,"The High School for Enterprise, Business and Techn",2019-20,776,277,499,57,213,478,0,7,20,101,703,85.5
14K488,5,58,3,281,89,8,169,215,108,99,89,0,89,10,6,3,Brooklyn Preparatory High School,2021-22,549,325,224,9,233,293,1,3,4,23,457,77.9
14K558,35,88,7,192,286,11,363,137,53,38,34,3,31,4,8,5,Williamsburg High School for Architecture and Desi,2021-22,588,184,404,13,167,352,4,8,41,25,471,76.3
14K561,20,66,6,164,319,49,257,282,103,88,83,23,60,5,10,5,Williamsburg Preparatory School,2020-21,719,389,330,26,143,485,1,6,44,32,559,78.8
14K586,80,105,4,243,288,6,288,256,39,33,26,0,26,7,1,5,Lyons Community School,2020-21,408,197,211,5,146,245,3,0,9,35,372,93.3
14K610,47,211,12,590,261,14,839,42,165,96,76,1,75,20,6,51,A-Tech High School,2020-21,337,35,302,12,135,169,1,7,8,22,298,84.7
14K614,8,36,4,164,76,1,0,250,8,8,7,2,5,1,0,0,Young Women's Leadership School of Brooklyn,2020-21,371,371,0,15,173,162,2,3,10,28,310,85.2
14K685,32,43,3,18,178,1,89,111,25,18,0,0,0,18,3,1,El Puente Academy for Peace and Justice,2020-21,223,94,129,1,15,199,1,0,6,45,200,92.2
15K423,1,25,0,55,24,2,33,48,29,6,4,0,4,2,5,12,Brooklyn Frontiers High School,2020-21,179,66,113,7,96,72,0,0,4,12,147,78.3
15K429,20,131,12,306,279,53,345,318,73,41,0,0,0,41,11,21,Digital Arts and Cinema Technology High School,2020-21,342,151,191,7,148,150,3,3,24,7,278,73.2
15K448,35,215,28,237,329,94,410,287,75,65,65,0,65,0,8,2,Brooklyn Collaborative Studies,2021-22,680,340,340,33,205,238,17,0,175,44,411,61
15K462,23,61,15,287,219,42,258,315,28,25,24,2,22,1,2,1,John Jay School for Law,2021-22,472,274,198,17,240,181,1,8,23,25,359,77.1
15K463,56,45,31,141,145,18,142,194,30,19,10,1,9,9,1,6,Cyberarts Studio Academy,2017-18,215,130,85,8,103,84,0,1,17,30,186,77.4
15K464,37,78,27,151,218,27,230,196,96,58,55,6,49,3,26,10,Park Slope Collegiate,2017-18,654,283,371,29,229,258,6,4,118,44,440,64.1
15K497,56,77,14,181,174,70,236,209,89,67,61,0,61,6,9,13,The Boerum Hill School for International Studies,2017-18,632,283,349,28,218,161,22,6,187,60,367,57.7
15K519,30,168,13,524,337,40,468,460,9,4,3,0,3,1,5,0,Cobble Hill School of American Studies,2017-18,584,307,277,21,364,170,1,4,10,59,531,80.7
